Hybrid 2D Euler Config 3: nx=512, ny=512, dt=2.79252e-05, steps=10743, tfinal=0.3
Local hyperviscosity enabled: mn=0.004, interval=1
step=    50, time=0.001396
step=   100, time=0.002793
step=   150, time=0.004189
step=   200, time=0.005585
step=   250, time=0.006981
step=   300, time=0.008378
step=   350, time=0.009774
step=   400, time=0.011170
step=   450, time=0.012566
step=   500, time=0.013963
step=   550, time=0.015359
step=   600, time=0.016755
step=   650, time=0.018151
step=   700, time=0.019548
step=   750, time=0.020944
step=   800, time=0.022340
step=   850, time=0.023736
step=   900, time=0.025133
step=   950, time=0.026529
step=  1000, time=0.027925
step=  1050, time=0.029321
step=  1100, time=0.030718
step=  1150, time=0.032114
step=  1200, time=0.033510
step=  1250, time=0.034906
step=  1300, time=0.036303
step=  1350, time=0.037699
step=  1400, time=0.039095
step=  1450, time=0.040491
step=  1500, time=0.041888
step=  1550, time=0.043284
step=  1600, time=0.044680
step=  1650, time=0.046077
step=  1700, time=0.047473
step=  1750, time=0.048869
step=  1800, time=0.050265
step=  1850, time=0.051662
step=  1900, time=0.053058
step=  1950, time=0.054454
step=  2000, time=0.055850
step=  2050, time=0.057247
step=  2100, time=0.058643
step=  2150, time=0.060039
step=  2200, time=0.061435
step=  2250, time=0.062832
step=  2300, time=0.064228
step=  2350, time=0.065624
step=  2400, time=0.067020
step=  2450, time=0.068417
step=  2500, time=0.069813
step=  2550, time=0.071209
step=  2600, time=0.072605
step=  2650, time=0.074002
step=  2700, time=0.075398
step=  2750, time=0.076794
step=  2800, time=0.078190
step=  2850, time=0.079587
step=  2900, time=0.080983
step=  2950, time=0.082379
step=  3000, time=0.083775
step=  3050, time=0.085172
step=  3100, time=0.086568
step=  3150, time=0.087964
step=  3200, time=0.089361
step=  3250, time=0.090757
step=  3300, time=0.092153
step=  3350, time=0.093549
step=  3400, time=0.094946
step=  3450, time=0.096342
step=  3500, time=0.097738
step=  3550, time=0.099134
step=  3600, time=0.100531
step=  3650, time=0.101927
step=  3700, time=0.103323
step=  3750, time=0.104719
step=  3800, time=0.106116
step=  3850, time=0.107512
step=  3900, time=0.108908
step=  3950, time=0.110304
step=  4000, time=0.111701
step=  4050, time=0.113097
step=  4100, time=0.114493
step=  4150, time=0.115889
step=  4200, time=0.117286
step=  4250, time=0.118682
step=  4300, time=0.120078
step=  4350, time=0.121474
step=  4400, time=0.122871
step=  4450, time=0.124267
step=  4500, time=0.125663
step=  4550, time=0.127059
step=  4600, time=0.128456
step=  4650, time=0.129852
step=  4700, time=0.131248
step=  4750, time=0.132645
step=  4800, time=0.134041
step=  4850, time=0.135437
step=  4900, time=0.136833
step=  4950, time=0.138230
step=  5000, time=0.139626
step=  5050, time=0.141022
step=  5100, time=0.142418
step=  5150, time=0.143815
step=  5200, time=0.145211
step=  5250, time=0.146607
step=  5300, time=0.148003
step=  5350, time=0.149400
step=  5400, time=0.150796
step=  5450, time=0.152192
step=  5500, time=0.153588
step=  5550, time=0.154985
step=  5600, time=0.156381
step=  5650, time=0.157777
step=  5700, time=0.159173
step=  5750, time=0.160570
step=  5800, time=0.161966
step=  5850, time=0.163362
step=  5900, time=0.164758
step=  5950, time=0.166155
step=  6000, time=0.167551
step=  6050, time=0.168947
step=  6100, time=0.170343
step=  6150, time=0.171740
step=  6200, time=0.173136
step=  6250, time=0.174532
step=  6300, time=0.175929
step=  6350, time=0.177325
step=  6400, time=0.178721
step=  6450, time=0.180117
step=  6500, time=0.181514
step=  6550, time=0.182910
step=  6600, time=0.184306
step=  6650, time=0.185702
step=  6700, time=0.187099
step=  6750, time=0.188495
step=  6800, time=0.189891
step=  6850, time=0.191287
step=  6900, time=0.192684
step=  6950, time=0.194080
step=  7000, time=0.195476
step=  7050, time=0.196872
step=  7100, time=0.198269
step=  7150, time=0.199665
step=  7200, time=0.201061
step=  7250, time=0.202457
step=  7300, time=0.203854
step=  7350, time=0.205250
step=  7400, time=0.206646
step=  7450, time=0.208042
step=  7500, time=0.209439
step=  7550, time=0.210835
step=  7600, time=0.212231
step=  7650, time=0.213627
step=  7700, time=0.215024
step=  7750, time=0.216420
step=  7800, time=0.217816
step=  7850, time=0.219213
step=  7900, time=0.220609
step=  7950, time=0.222005
step=  8000, time=0.223401
step=  8050, time=0.224798
step=  8100, time=0.226194
step=  8150, time=0.227590
step=  8200, time=0.228986
step=  8250, time=0.230383
step=  8300, time=0.231779
step=  8350, time=0.233175
step=  8400, time=0.234571
step=  8450, time=0.235968
step=  8500, time=0.237364
step=  8550, time=0.238760
step=  8600, time=0.240156
step=  8650, time=0.241553
step=  8700, time=0.242949
step=  8750, time=0.244345
step=  8800, time=0.245741
step=  8850, time=0.247138
step=  8900, time=0.248534
step=  8950, time=0.249930
step=  9000, time=0.251326
step=  9050, time=0.252723
step=  9100, time=0.254119
step=  9150, time=0.255515
step=  9200, time=0.256911
step=  9250, time=0.258308
step=  9300, time=0.259704
step=  9350, time=0.261100
step=  9400, time=0.262497
step=  9450, time=0.263893
step=  9500, time=0.265289
step=  9550, time=0.266685
step=  9600, time=0.268082
step=  9650, time=0.269478
step=  9700, time=0.270874
step=  9750, time=0.272270
step=  9800, time=0.273667
step=  9850, time=0.275063
step=  9900, time=0.276459
step=  9950, time=0.277855
step= 10000, time=0.279252
step= 10050, time=0.280648
step= 10100, time=0.282044
step= 10150, time=0.283440
step= 10200, time=0.284837
step= 10250, time=0.286233
step= 10300, time=0.287629
step= 10350, time=0.289025
step= 10400, time=0.290422
step= 10450, time=0.291818
step= 10500, time=0.293214
step= 10550, time=0.294610
step= 10600, time=0.296007
step= 10650, time=0.297403
step= 10700, time=0.298799
step= 10743, time=0.300000
Completed hybrid Configuration 3 at t=0.300000 in 10743 steps.
Diagnostic summary:
  density min/max       : 9.29144546e-02 / 1.84070495e+00
  pressure min/max      : 9.99999972e-11 / 1.73265703e+00
  max |vorticity|       : 2.79442903e+02
  NaN/Inf present       : False
  density positive      : True
  pressure positive     : True
  final sensor fraction : 0.262688
  hyperviscosity applied: True (10743 applications)
libEGL warning: DRI3 error: Could not get DRI3 device
libEGL warning: Ensure your X server supports DRI3 to get accelerated rendering
Saved figure to results/Riemann2D_Config3_t03_n512_reference_mn0004.png
Saved contour figure to results/Riemann2D_Config3_t03_n512_reference_mn0004_contours.png
Saved schlieren figure to results/Riemann2D_Config3_t03_n512_reference_mn0004_schlieren.png
Saved zoom figure to results/Riemann2D_Config3_t03_n512_reference_mn0004_zoom.png
