libEGL warning: DRI3 error: Could not get DRI3 device
libEGL warning: Ensure your X server supports DRI3 to get accelerated rendering
Using CUDA device: NVIDIA RTX PRO 5000 Blackwell
GPU hybrid 2D Euler Config 3: nx=512, ny=512, adaptive CFL=0.05, tfinal=0.85, device=0
step=   250, time=0.006978, dt=2.79037e-05, chunk=41.11 ms/step, avg=41.11 ms/step, pool=8.0/327.3 MiB
step=   500, time=0.013953, dt=2.79017e-05, chunk=40.88 ms/step, avg=41.00 ms/step, pool=8.0/327.3 MiB
step=   750, time=0.020867, dt=2.68025e-05, chunk=40.89 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  1000, time=0.027381, dt=2.54146e-05, chunk=40.90 ms/step, avg=40.95 ms/step, pool=8.0/327.3 MiB
step=  1250, time=0.033596, dt=2.42482e-05, chunk=40.87 ms/step, avg=40.93 ms/step, pool=8.0/327.3 MiB
step=  1500, time=0.039566, dt=2.36239e-05, chunk=40.90 ms/step, avg=40.93 ms/step, pool=8.0/327.3 MiB
step=  1750, time=0.045377, dt=2.31378e-05, chunk=40.88 ms/step, avg=40.92 ms/step, pool=8.0/327.3 MiB
step=  2000, time=0.051102, dt=2.27564e-05, chunk=40.89 ms/step, avg=40.92 ms/step, pool=8.0/327.3 MiB
step=  2250, time=0.056751, dt=2.24468e-05, chunk=40.89 ms/step, avg=40.91 ms/step, pool=8.0/327.3 MiB
step=  2500, time=0.062356, dt=2.22645e-05, chunk=40.90 ms/step, avg=40.91 ms/step, pool=8.0/327.3 MiB
step=  2750, time=0.067904, dt=2.21401e-05, chunk=40.98 ms/step, avg=40.92 ms/step, pool=8.0/327.3 MiB
step=  3000, time=0.073429, dt=2.21033e-05, chunk=40.97 ms/step, avg=40.92 ms/step, pool=8.0/327.3 MiB
step=  3250, time=0.078942, dt=2.20025e-05, chunk=40.99 ms/step, avg=40.93 ms/step, pool=8.0/327.3 MiB
step=  3500, time=0.084445, dt=2.19922e-05, chunk=40.98 ms/step, avg=40.93 ms/step, pool=8.0/327.3 MiB
step=  3750, time=0.089932, dt=2.18807e-05, chunk=40.95 ms/step, avg=40.93 ms/step, pool=8.0/327.3 MiB
step=  4000, time=0.095386, dt=2.17226e-05, chunk=40.96 ms/step, avg=40.93 ms/step, pool=8.0/327.3 MiB
step=  4250, time=0.100828, dt=2.18098e-05, chunk=40.97 ms/step, avg=40.94 ms/step, pool=8.0/327.3 MiB
step=  4500, time=0.106259, dt=2.16461e-05, chunk=40.96 ms/step, avg=40.94 ms/step, pool=8.0/327.3 MiB
step=  4750, time=0.111645, dt=2.14390e-05, chunk=40.97 ms/step, avg=40.94 ms/step, pool=8.0/327.3 MiB
step=  5000, time=0.116981, dt=2.12866e-05, chunk=40.96 ms/step, avg=40.94 ms/step, pool=8.0/327.3 MiB
step=  5250, time=0.122285, dt=2.11088e-05, chunk=40.97 ms/step, avg=40.94 ms/step, pool=8.0/327.3 MiB
step=  5500, time=0.127559, dt=2.11350e-05, chunk=40.96 ms/step, avg=40.94 ms/step, pool=8.0/327.3 MiB
step=  5750, time=0.132847, dt=2.11938e-05, chunk=40.97 ms/step, avg=40.94 ms/step, pool=8.0/327.3 MiB
step=  6000, time=0.138138, dt=2.11724e-05, chunk=40.98 ms/step, avg=40.95 ms/step, pool=8.0/327.3 MiB
step=  6250, time=0.143448, dt=2.12195e-05, chunk=40.96 ms/step, avg=40.95 ms/step, pool=8.0/327.3 MiB
step=  6500, time=0.148752, dt=2.12002e-05, chunk=41.20 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  6750, time=0.154055, dt=2.12389e-05, chunk=41.14 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  7000, time=0.159358, dt=2.11845e-05, chunk=40.97 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  7250, time=0.164642, dt=2.11008e-05, chunk=40.97 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  7500, time=0.169908, dt=2.10852e-05, chunk=40.95 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  7750, time=0.175172, dt=2.10975e-05, chunk=40.96 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  8000, time=0.180452, dt=2.11434e-05, chunk=40.99 ms/step, avg=40.96 ms/step, pool=8.0/327.3 MiB
step=  8250, time=0.185735, dt=2.10989e-05, chunk=41.37 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step=  8500, time=0.191005, dt=2.10488e-05, chunk=40.96 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step=  8750, time=0.196261, dt=2.09836e-05, chunk=40.96 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step=  9000, time=0.201491, dt=2.09164e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step=  9250, time=0.206706, dt=2.08304e-05, chunk=40.98 ms/step, avg=40.98 ms/step, pool=8.0/327.3 MiB
step=  9500, time=0.211905, dt=2.07350e-05, chunk=40.96 ms/step, avg=40.97 ms/step, pool=8.0/327.3 MiB
step=  9750, time=0.217088, dt=2.07354e-05, chunk=40.96 ms/step, avg=40.97 ms/step, pool=8.0/327.3 MiB
step= 10000, time=0.222263, dt=2.06740e-05, chunk=40.96 ms/step, avg=40.97 ms/step, pool=8.0/327.3 MiB
